Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,valence_bin,speechiness_bin
559,6xTLXrdNqOTcTUHwPh8Wp1,Edy Hafler,Game of Thrones,Game of Thrones,41,89268,False,0.34,0.309,11,-12.98,0,0.05,0.855,0.903,0.168,0.153,176.899,3,acoustic,0.1-0.2,0.0-0.1
576,3CqV5uSdPvj5Ux3E8Idusc,Eddie van der Meer,Anime Songs #3,"Sad Theme (From ""One Punch Man"")",37,81000,False,0.487,0.162,11,-11.238,0,0.106,0.933,0.829,0.117,0.49,82.33,4,acoustic,0.4-0.5,0.1-0.2
626,1CtfA9JkJ5cJQgpO7wEj4V,Beyond The Guitar,"Guitar Covers, Vol. 2","He's A Pirate (From ""Pirates of the Caribbean"")",30,163813,False,0.57,0.454,2,-7.613,0,0.0987,0.881,0.889,0.0983,0.381,101.476,4,acoustic,0.3-0.4,0.0-0.1
638,3YalaPTUkyCYanwIf0l4UN,Eddie Vedder,Into The Wild (Music For The Motion Picture),Toulumne,51,60306,False,0.337,0.287,0,-15.051,1,0.0332,0.898,0.978,0.12,0.393,107.031,4,acoustic,0.3-0.4,0.0-0.1
653,69yz6UcfUHCi795treLj3l,Acoustic Guitar Collective,"Golden Covers, Vol. 2",Perfect,39,192397,False,0.559,0.118,7,-16.34,1,0.0421,0.979,0.935,0.109,0.289,97.1,4,acoustic,0.2-0.3,0.0-0.1
672,35TStN96CwcjFedErjW8Wq,Will Moore,Classical Guitar Lullabies Volume 1,Waltzing Matilda,48,148127,False,0.625,0.285,0,-13.819,1,0.0524,0.897,0.91,0.108,0.173,141.611,4,acoustic,0.1-0.2,0.0-0.1
708,2WQRPsMOrbeqms7JgmmVv3,Eddy Tyler,Guitar Covers,Shallow,41,214784,False,0.613,0.346,7,-11.33,1,0.0398,0.89,0.913,0.0994,0.128,95.981,4,acoustic,0.1-0.2,0.0-0.1
726,0DCmkHy3eZl8ht8OciCZk8,Eddie van der Meer,"Cover Songs, #1",Pirates of the Caribbean Theme,30,98000,False,0.315,0.516,1,-8.112,0,0.0622,0.859,0.947,0.115,0.184,188.325,3,acoustic,0.1-0.2,0.0-0.1
762,0UyEX00PgplVsCcqtl1Rna,Kurt Cobain,Montage Of Heck: The Home Recordings (Deluxe Soundtrack),She Only Lies,48,167186,False,0.474,0.0699,0,-27.372,1,0.038,0.992,0.898,0.116,0.243,114.606,4,acoustic,0.2-0.3,0.0-0.1
766,3xtxmdwm84x0ZDvSOxQels,Joseph Sullinger,Drawn by the Wind (Arr. for Guitar),Drawn by the Wind (Arr. for Guitar),34,196487,False,0.514,0.239,2,-14.957,0,0.101,0.982,0.954,0.106,0.338,119.998,4,acoustic,0.3-0.4,0.1-0.2
787,6e2lt5O6aOUGQ8BWSo0gNr,Eddie Vedder,Into The Wild (Music For The Motion Picture),End Of The Road,48,199880,False,0.585,0.441,7,-9.271,0,0.0311,0.501,0.534,0.0967,0.0591,114.091,4,acoustic,0.0-0.1,0.0-0.1
807,05QEiRtbs57De7NxgUNOHp,Guus Dielissen,As It Was (Acoustic Instrumental),As It Was - Acoustic Instrumental,41,139612,False,0.287,0.245,11,-20.674,0,0.0493,0.915,0.836,0.112,0.624,84.056,4,acoustic,0.6-0.7,0.0-0.1
879,7xVLM4xNhJo57V5RoinJji,Joseph Sullinger,Art of Acoustic: Soft Instrumental Covers & Classical Guitar,What a Wonderful World,49,138748,False,0.516,0.144,2,-18.858,1,0.051,0.992,0.952,0.115,0.433,134.688,4,acoustic,0.4-0.5,0.0-0.1
912,7lr1Qj5i2emYCPqUiIyFcz,Guus Dielissen,Moth To A Flame (Acoustic Instrumental),Moth To A Flame - Acoustic Instrumental,43,181819,False,0.655,0.0883,0,-19.0,0,0.0488,0.971,0.897,0.109,0.373,119.985,4,acoustic,0.3-0.4,0.0-0.1
926,0ZFq3raMFdXllZJoTbBRnQ,Steve Pulvers,Acoustic Lullaby,Untainted Innocence,26,133500,False,0.586,0.115,7,-20.442,1,0.0563,0.836,0.926,0.11,0.885,179.941,4,acoustic,0.8-0.9,0.0-0.1
938,25R9Ax7cdjWx0EDr2HAKoA,AJJ,Christmas Island,Deathlessness,27,220832,False,0.554,0.655,11,-8.074,1,0.0388,0.00193,0.56,0.28,0.363,100.423,4,acoustic,0.3-0.4,0.0-0.1
959,6VJcMjtcbFGAwZxqW28C8Q,Roberto Diana;Muniesa,Muniesa,Cortes de Aragón,47,72167,False,0.426,0.0812,4,-21.651,0,0.0843,0.948,0.889,0.107,0.243,85.204,5,acoustic,0.2-0.3,0.0-0.1
969,53yCbC8zjcNQi5534UDoWL,Guus Dielissen,"Acoustic Guitar Covers, Vol. 3",Memories (Instrumental Guitar),37,191506,False,0.491,0.185,11,-18.994,1,0.0452,0.947,0.929,0.195,0.674,90.465,4,acoustic,0.6-0.7,0.0-0.1
977,6c6xJgk6Z7WElX8tRUdjZk,Correatown,Spark. Burn. Fade.,All The World (I Tell Myself),38,273026,False,0.488,0.294,6,-14.717,0,0.0261,0.917,0.841,0.0876,0.26,76.647,3,acoustic,0.2-0.3,0.0-0.1
1049,5uCb2bQ9HcCY3c7kLq4Iur,Jackie Mittoo,The Keyboard King at Studio One,Darker Shade of Black,40,194293,False,0.689,0.564,6,-7.276,1,0.126,0.149,0.941,0.0909,0.758,87.474,4,afrobeat,0.7-0.8,0.1-0.2
1051,2Y3x5VcEAxLNmVHxQOE0jB,Menahan Street Band,The Exciting Sounds of Menahan Street Band,Queens Highway,64,67720,False,0.778,0.399,1,-8.984,1,0.0858,0.0751,0.835,0.103,0.321,137.305,4,afrobeat,0.3-0.4,0.0-0.1
1060,3qdalnFVTJdRheIRZyuNmP,BaianaSystem;Buguinha Dub;Curumin;Edgar,Futuro Dub,Sonar (Adubado),34,174538,False,0.694,0.82,4,-7.885,0,0.048,0.113,0.897,0.147,0.588,99.922,4,afrobeat,0.5-0.6,0.0-0.1
1061,6SdaB4qWrwFG5goKg3NbVj,BaianaSystem,Forasteiro,Forasteiro,35,210373,False,0.685,0.732,9,-8.589,0,0.0322,0.00506,0.778,0.064,0.856,127.999,4,afrobeat,0.8-0.9,0.0-0.1
1062,3dCA1AG1JPlF848jihvVsE,Plastilina Mosh,Hola Chicuelos,Oxidados,35,148000,False,0.483,0.994,4,-6.676,0,0.0762,0.000444,0.765,0.057,0.702,182.051,4,afrobeat,0.7-0.8,0.0-0.1
1074,2abpx1FO9dhMg16Q59iWL4,Criolo,Nó na Orelha,Samba Sambei (Dub Mix),32,220653,False,0.795,0.664,11,-10.679,1,0.0519,0.188,0.89,0.172,0.854,136.029,4,afrobeat,0.8-0.9,0.0-0.1
1082,4YUWeLwUwRMzuxW5H4ASYp,BaianaSystem;As Ganhadeiras de Itapuã,Duas Cidades,Panela,33,173413,False,0.666,0.761,7,-5.472,1,0.0926,0.000143,0.712,0.112,0.797,143.035,4,afrobeat,0.7-0.8,0.0-0.1
1101,0FLmR0blAIztjE7YsQpoYc,El Michels Affair,Enter The 37th Chamber,Shimmy Shimmy Ya,49,145880,False,0.605,0.666,11,-5.77,1,0.0413,0.0234,0.647,0.0841,0.0865,100.138,4,afrobeat,0.0-0.1,0.0-0.1
1114,3c3SlCmGqAULLHI3eGuHTK,Romperayo,Romperayo,Alegria por un Zumo de Naranja Con Panela,30,213992,False,0.6,0.65,5,-16.989,1,0.0412,0.000416,0.795,0.178,0.868,131.078,4,afrobeat,0.8-0.9,0.0-0.1
1118,4Gk58WahIU0EfGR6P0T8Tm,Jorge Drexler,Amar la trama,La nieve en la bola de nieve,30,295866,False,0.457,0.231,2,-17.316,1,0.0597,0.759,0.523,0.11,0.444,133.083,4,afrobeat,0.4-0.5,0.0-0.1
1121,1wLaZctzZCnr9NJNZOjcVY,Jorge Drexler,Sea,Uno,30,169066,False,0.715,0.686,1,-9.727,1,0.036,0.227,0.657,0.11,0.86,130.945,4,afrobeat,0.8-0.9,0.0-0.1
1130,0eaOuJKKnxlUoQqgMnEait,Bixiga 70,Bixiga 70 (2011),Desengano da Vista,31,406573,False,0.535,0.644,0,-8.617,0,0.0442,0.543,0.918,0.0939,0.744,149.872,4,afrobeat,0.7-0.8,0.0-0.1
1139,74FgXyMVJm4muoRSZQRCVw,Orquestra Brasileira de Música Jamaicana,Volume I,O Guarani,32,221506,False,0.683,0.783,6,-7.155,0,0.0438,0.0941,0.84,0.104,0.634,141.94,4,afrobeat,0.6-0.7,0.0-0.1
1140,7COvgWy22fTEwQWcc5bBZd,Tony Allen,"Comet Series, Vol. 1 (Crazy Afrobeat)",Ikeja Roads,30,160948,False,0.777,0.598,2,-13.803,0,0.0412,0.023,0.89,0.106,0.684,100.007,4,afrobeat,0.6-0.7,0.0-0.1
1154,3HQwAn3gDAfxTjXd93OhEv,Morbo y Mambo,Morbo y Mambo,gorila,27,162146,False,0.742,0.617,5,-10.134,0,0.044,0.397,0.888,0.14,0.847,101.999,4,afrobeat,0.8-0.9,0.0-0.1
1155,3H4VxEjsbVroJdqIYkWE3z,Plastilina Mosh,Juan Manuel,Shampoo,28,139133,False,0.716,0.509,2,-6.926,1,0.0753,0.683,0.891,0.0884,0.374,170.117,4,afrobeat,0.3-0.4,0.0-0.1
1164,0HaeGQdShN9VUjakBQfrp6,Plastilina Mosh,Hola Chicuelos,Enzo,31,235200,False,0.735,0.864,1,-4.801,1,0.0742,0.00434,0.598,0.765,0.851,90.037,4,afrobeat,0.8-0.9,0.0-0.1
1168,63nOQpjvgznL7lF5tEwsCs,Newen Afrobeat,Newen Afrobeat,Caminante,27,397573,False,0.604,0.904,6,-5.338,0,0.0483,0.0787,0.708,0.144,0.557,92.962,4,afrobeat,0.5-0.6,0.0-0.1
1170,7DGciw6JNzvNtdmvvANsHV,BaianaSystem,BaianaSystem,Barravenida,27,297360,False,0.646,0.651,7,-10.789,0,0.0328,0.0025,0.739,0.17,0.672,133.985,4,afrobeat,0.6-0.7,0.0-0.1
1179,1sTIyJ58UqaMxjGllmkzx2,BaianaSystem,OXEAXEEXU,Tubarão,28,142333,False,0.738,0.925,0,-4.205,1,0.0429,0.0125,0.836,0.153,0.704,131.065,4,afrobeat,0.7-0.8,0.0-0.1
1183,7kM4yhMogdpiOZu0wL1UFy,BaianaSystem,BaianaSystem,Amerikha Expressa,28,179306,False,0.39,0.661,7,-9.916,0,0.0321,0.61,0.726,0.298,0.205,123.257,4,afrobeat,0.2-0.3,0.0-0.1
1185,6k0eY0m3EDzcV2tFSHGcnw,The Budos Band,The Budos Band II,King Cobra,28,220306,False,0.667,0.548,8,-4.813,1,0.0298,0.0181,0.739,0.206,0.823,104.668,4,afrobeat,0.8-0.9,0.0-0.1
1190,6QkjoJ4fgWczKVLkN3zsGR,Bixiga 70,Bixiga 70 (2011),Tema Di Malaika,27,247693,False,0.689,0.886,8,-8.548,0,0.0462,0.563,0.897,0.0744,0.884,107.983,4,afrobeat,0.8-0.9,0.0-0.1
1192,3A33sno00r6ooYuPjV8txe,BaianaSystem,OXEAXEEXU,Rádio África,28,198720,False,0.736,0.948,7,-5.486,1,0.0443,0.0586,0.694,0.854,0.848,130.013,4,afrobeat,0.8-0.9,0.0-0.1
1194,1vScxuyEa7X1HSP1HXLqZb,Jackie Mittoo,The Keyboard King at Studio One,Wall Street,29,434600,False,0.827,0.359,7,-12.863,1,0.0909,0.332,0.703,0.0911,0.684,135.421,4,afrobeat,0.6-0.7,0.0-0.1
1195,6HuZyRmNgLkVALF4LS99TB,Plastilina Mosh,Juan Manuel,Human Disco Ball,28,214266,False,0.806,0.99,11,-7.994,0,0.0455,0.000385,0.509,0.0305,0.921,125.026,4,afrobeat,0.9-1.0,0.0-0.1
1200,4bJ7tMJqfYmkKgCYzaaG4B,El Michels Affair,Enter The 37th Chamber,C.R.E.A.M.,55,174826,False,0.571,0.508,11,-8.118,0,0.0254,0.532,0.951,0.161,0.102,96.825,4,afrobeat,0.1-0.2,0.0-0.1
1204,414J8tKHbtF16XOiHGBEso,Mulatu Astatke,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",Tezeta (Nostalgia),52,376640,False,0.547,0.356,5,-10.199,0,0.0366,0.954,0.917,0.0891,0.504,81.032,3,afrobeat,0.5-0.6,0.0-0.1
1219,2Fc99kfkQ1S2RilXcd6xIU,Money Chicha,Echo en Mexico,Quieren Efectos,24,167217,False,0.553,0.773,5,-6.446,1,0.0343,0.173,0.865,0.185,0.597,96.617,4,afrobeat,0.5-0.6,0.0-0.1
1234,5o0ehnApshT6XmXu3tT2OJ,Abayomy Afrobeat Orquestra,Abra Sua Cabeça,Abra Sua Cabeça,25,387165,False,0.695,0.895,1,-8.202,1,0.048,0.116,0.734,0.311,0.962,120.069,4,afrobeat,0.9-1.0,0.0-0.1
1238,0aRBk8abP2vA3wl7GV74SA,Newen Afrobeat,Curiche,Open Your Eyes,25,479053,False,0.802,0.702,5,-7.722,0,0.0525,0.229,0.581,0.173,0.855,113.073,4,afrobeat,0.8-0.9,0.0-0.1
1239,3n4xOoTgs35OjmOnCDj1VX,The Budos Band,Burnt Offering,Magus Mountain,27,319026,False,0.486,0.803,7,-6.157,1,0.0363,7.89e-05,0.854,0.222,0.253,105.904,4,afrobeat,0.2-0.3,0.0-0.1
1243,0ZmZP6aTs04W4GhXygWsXJ,Plastilina Mosh,Aquamosh,I´ve Got That Milton Pacheco Kinda Feeling - Melancolic Mix,28,262480,False,0.555,0.665,3,-10.47,0,0.0622,0.0352,0.596,0.116,0.399,178.064,4,afrobeat,0.3-0.4,0.0-0.1
1248,2hUuLfZEqlAGqlp5aWmcaU,Jackie Mittoo,The Keyboard King at Studio One,Killer Diller,27,167493,False,0.591,0.748,5,-7.136,1,0.0292,0.0679,0.837,0.286,0.961,127.636,4,afrobeat,0.9-1.0,0.0-0.1
1252,1bZH8L8V2m454tdcSPEIl7,Menahan Street Band,Make the Road By Walking,The Traitor,55,162266,False,0.628,0.585,3,-8.036,0,0.0421,0.147,0.927,0.0465,0.618,100.95,4,afrobeat,0.6-0.7,0.0-0.1
1262,6wuKQTG5bX38pDnOQODK3M,Morbo y Mambo,Noches de Morbo Vol. 1,Rogers Nelson,25,322700,False,0.683,0.536,4,-8.362,0,0.0465,0.115,0.692,0.179,0.845,83.986,4,afrobeat,0.8-0.9,0.0-0.1
1263,1VO8xVwfozbNKhsaZlOEhe,Los Amigos Invisibles,Cool Love,Cool Love 3,25,37702,False,0.549,0.489,4,-13.621,0,0.0458,0.35,0.926,0.122,0.648,77.593,1,afrobeat,0.6-0.7,0.0-0.1
1272,2NVK1qY94RNPBEururiknk,Orgone,The Killion Floor,Duck and Cover,25,169800,False,0.786,0.729,11,-8.323,0,0.0425,0.0484,0.844,0.151,0.907,100.995,4,afrobeat,0.9-1.0,0.0-0.1
1277,1Y7JDqUVbaHRPsLJtSY8ie,Grupo Fantasma,Sonidos Gold,Arroz Con Frijoles,24,241520,False,0.382,0.931,6,-7.296,0,0.0591,0.137,0.649,0.0553,0.801,105.214,4,afrobeat,0.8-0.9,0.0-0.1
1282,6ZKefbfRwoDdmiR1ktiM3g,The Budos Band,Burnt Offering,Black Hills,24,268333,False,0.44,0.728,5,-5.895,0,0.0348,0.00144,0.848,0.253,0.518,136.243,4,afrobeat,0.5-0.6,0.0-0.1
1295,7ikzBJC2N3h78r9Iu03aOG,Orquestra Brasileira de Música Jamaicana,Volume II,País Tropical,24,209066,False,0.816,0.77,5,-5.94,1,0.032,0.61,0.948,0.323,0.964,127.971,4,afrobeat,0.9-1.0,0.0-0.1
1296,1EcDq6wqhhQSdEfVK4mTjH,Plastilina Mosh,Aquamosh,Banano´s Bar,27,348826,False,0.605,0.842,1,-9.482,1,0.0553,0.0133,0.664,0.341,0.39,116.151,4,afrobeat,0.3-0.4,0.0-0.1
1303,5G2pbqhXrpVbGOYoWaz04J,Kutiman;Doctor Flake,Maasai (Doctor Flake Remix),Maasai - Doctor Flake Remix,43,470837,False,0.648,0.874,6,-5.851,0,0.0342,0.0104,0.932,0.107,0.339,101.994,4,afrobeat,0.3-0.4,0.0-0.1
1304,1ETZhP9orTkDclKEyt0xqm,William Onyeabor,World Psychedelic Classics 5: Who Is William Onyeabor?,Fantastic Man,45,386160,False,0.7,0.756,2,-10.714,1,0.0575,0.00182,0.711,0.0575,0.944,114.28,4,afrobeat,0.9-1.0,0.0-0.1
1310,2W8emJ02IeqnxsEHPHFWCZ,Thiago França,Na Gafieira,Um samba pra John Coltrane,23,100146,False,0.701,0.715,10,-7.829,0,0.0451,0.313,0.958,0.0418,0.774,139.733,4,afrobeat,0.7-0.8,0.0-0.1
1314,3HgPOHHJWnMfv1Zw27Jh2V,The Poets Of Rhythm,Practice What You Preach,More Mess on My Thing,57,252000,False,0.542,0.869,0,-6.18,1,0.0954,0.225,0.891,0.0453,0.962,190.509,4,afrobeat,0.9-1.0,0.0-0.1
1315,0fxjsll9jmmRgMFbwdp4Xg,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,Yègellé Tezeta,51,194293,False,0.839,0.233,3,-13.539,1,0.0413,0.745,0.747,0.105,0.777,125.597,4,afrobeat,0.7-0.8,0.0-0.1
1320,2hNvVIN88wlihfnm8Wbk5h,Los Amigos Invisibles,Arepa 3000,Si Estuvieras Aquí,25,251413,False,0.693,0.569,9,-9.466,0,0.0303,0.62,0.857,0.157,0.626,130.011,4,afrobeat,0.6-0.7,0.0-0.1
1325,0ut6MoPysgNdUVwaHBFk6h,Ikebe Shakedown,Ikebe Shakedown,Tujunga,22,201013,False,0.683,0.83,5,-5.994,0,0.0504,0.54,0.629,0.0595,0.883,127.237,4,afrobeat,0.8-0.9,0.0-0.1
1327,3wHSqWvBuGUXCiuQFUbdCo,The Mighty Imperials,Thunder Chicken,Cold Sweat,23,321160,False,0.537,0.619,7,-11.404,1,0.0339,0.101,0.887,0.582,0.897,119.222,4,afrobeat,0.8-0.9,0.0-0.1
1328,5aqzJkElPJ4mN16RGnn4bK,The Poets Of Rhythm,Discern / Define,Ham Gallery,23,201400,False,0.781,0.848,7,-9.61,1,0.0898,0.0276,0.767,0.0472,0.641,109.49,4,afrobeat,0.6-0.7,0.0-0.1
1335,2eU6yZOsTESuFQfl0T4zVf,Mandrill,Mandrill Is,Lord Of The Golden Baboon,23,214306,False,0.571,0.845,7,-6.674,1,0.0837,0.0484,0.734,0.139,0.586,128.627,4,afrobeat,0.5-0.6,0.0-0.1
1337,13vgkc4kKqZi14NzDInzId,BaianaSystem,OXEAXEEXU,Barbatana,24,142226,False,0.558,0.778,0,-6.747,1,0.0304,0.000658,0.663,0.134,0.385,131.049,4,afrobeat,0.3-0.4,0.0-0.1
1342,6fPJR1tK21mcWrLqCQ3QVX,Orquestra Brasileira de Música Jamaicana,Obmjazz (Ao Vivo Na Casa De Francisca),Take 5 - Ao Vivo Na Casa De Francisca,23,431640,False,0.734,0.444,0,-10.782,0,0.0523,0.489,0.941,0.626,0.624,136.305,4,afrobeat,0.6-0.7,0.0-0.1
1353,2xKrjhPVU1d5hYzfNY6Ltb,Ikebe Shakedown,The Beast / Road Song,Road Song,51,180226,False,0.63,0.735,2,-7.682,0,0.0346,0.464,0.8,0.0817,0.727,106.589,4,afrobeat,0.7-0.8,0.0-0.1
1358,7JPNvoMjoIXkTDAMx9Aajj,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,Tezeta,49,368539,False,0.549,0.254,10,-14.48,1,0.0416,0.962,0.931,0.0994,0.541,81.484,3,afrobeat,0.5-0.6,0.0-0.1
1360,2bNGrM7eeo3k0OwYk92Z4I,Brownout,Homenage,Brown Wind and Fire,22,181520,False,0.594,0.614,0,-10.175,0,0.0553,0.00298,0.712,0.0739,0.825,159.94,4,afrobeat,0.8-0.9,0.0-0.1
1371,0I3e0YkxjcnNAWj32n6lHr,Menahan Street Band,The Crossing,Ivory and Blue - Reprise,22,65026,False,0.329,0.84,3,-9.316,0,0.0662,0.222,0.837,0.148,0.962,174.761,3,afrobeat,0.9-1.0,0.0-0.1
1372,0s2SG6L4JkZJh5vFO95iJs,Nomade Orquestra,"Vox Machina, Vol. 1",Pinga Fogo,21,290693,False,0.586,0.827,7,-6.044,1,0.0453,0.00549,0.888,0.0435,0.809,167.962,4,afrobeat,0.8-0.9,0.0-0.1
1380,132Gi8vnL1YGS7DjHdjjiE,El Michels Affair,Sounding Out the City,Slide Show,21,136773,False,0.587,0.716,8,-7.943,1,0.0308,0.157,0.921,0.641,0.874,81.689,4,afrobeat,0.8-0.9,0.0-0.1
1382,6GgeQ4ZB0Y8hS0ngdWzahy,Plastilina Mosh,Juan Manuel,Aropador,21,240026,False,0.783,0.506,2,-14.552,1,0.0651,0.952,0.918,0.0676,0.397,117.147,4,afrobeat,0.3-0.4,0.0-0.1
1384,5pKUJLGKZjoPiYJnQYRH9a,The Budos Band,Burnt Offering,Turn and Burn,22,344840,False,0.445,0.833,9,-7.373,0,0.0279,0.00256,0.736,0.167,0.652,116.012,4,afrobeat,0.6-0.7,0.0-0.1
1388,2RhJqgcxU7hy1KZ8xLGuky,The Budos Band,The Budos Band II,Deep in the Sand,22,225826,False,0.471,0.864,8,-5.079,1,0.0383,0.000394,0.843,0.0526,0.486,119.095,4,afrobeat,0.4-0.5,0.0-0.1
1389,337tTnKLdmVdLYjMcllLqR,Lafayette Afro Rock Band,Malik,Avi-Vo - Remastered,21,215322,False,0.709,0.868,0,-6.436,1,0.0486,0.428,0.814,0.131,0.693,118.125,4,afrobeat,0.6-0.7,0.0-0.1
1395,0Tu9CVtudympO1AQStFlav,Metá Metá,MetaL MetaL,Logun,22,478197,False,0.617,0.868,0,-7.344,1,0.0404,0.554,0.559,0.0738,0.913,122.883,4,afrobeat,0.9-1.0,0.0-0.1
1398,14H4WPC9IGuN0OGbzqS1XY,Plastilina Mosh,Aquamosh,Aquamosh,24,236706,False,0.704,0.728,7,-10.712,1,0.0666,0.491,0.7,0.391,0.509,92.228,4,afrobeat,0.5-0.6,0.0-0.1
1401,42ikfAu8oK4573BrUa5Wtl,ATR;Luedji Luna,Batom,Batom,21,223092,False,0.656,0.508,6,-10.105,0,0.0956,0.295,0.505,0.0857,0.585,194.015,4,afrobeat,0.5-0.6,0.0-0.1
1412,3iu6Z2EBJZF0VyK6y4vv8D,Orquestra Voadora,Pernas Voadoras,Pernas Voadoras,21,172695,False,0.655,0.62,10,-7.736,1,0.0394,0.75,0.615,0.191,0.763,97.513,4,afrobeat,0.7-0.8,0.0-0.1
1418,26dxHzEGUtOSQ0M6661JNi,Victor Rice,Smoke,Tema,21,155479,False,0.634,0.664,11,-7.014,1,0.0339,0.216,0.898,0.211,0.872,130.962,4,afrobeat,0.8-0.9,0.0-0.1
1422,40dOkG5POxk2F6e5dhqY1h,The Budos Band,Burnt Offering,Shattered Winds,22,160800,False,0.447,0.826,10,-6.556,0,0.0504,0.0226,0.876,0.232,0.685,105.475,4,afrobeat,0.6-0.7,0.0-0.1
1435,6LqsZMJ4CS4bu13W5lUfC7,The Budos Band,The Budos Band III,Budos Dirge,22,158760,False,0.571,0.877,6,-9.563,1,0.0342,0.344,0.922,0.166,0.814,120.907,4,afrobeat,0.8-0.9,0.0-0.1
1439,2KR6wfZkGkBVYrwKQkuAxR,The Budos Band,The Budos Band III,Reppirt Yad,22,177253,False,0.509,0.511,0,-11.24,1,0.0294,0.0238,0.913,0.0748,0.611,116.851,4,afrobeat,0.6-0.7,0.0-0.1
1451,6J0HEZmMPkLGLljiW3mBJZ,El Michels Affair,Adult Themes,Villa,48,165735,False,0.503,0.733,11,-7.272,1,0.188,0.676,0.809,0.0983,0.377,167.935,4,afrobeat,0.3-0.4,0.1-0.2
1455,4Ic3yQiH5UmyyevTsp08tY,Akalé Wubé;Manu Dibango,Sost,Anbessa,49,221720,False,0.82,0.473,10,-7.3,0,0.0454,0.293,0.861,0.136,0.645,120.066,4,afrobeat,0.6-0.7,0.0-0.1
